gateway, tag, rssi, latitude, longitude, ts
y01BuvE4WuY=,RAK4630-FDE9,-93,22.3625704,114.119536,2022-12-14T10:49:58.304943757Z
ZH/a//4Aapw=,RAK4630-FDE9,-105,22.34299,114.19675,2022-12-14T10:50:05.598598271Z
y01BuvE4WuY=,RAK4630-FDE9,-99,22.3625704,114.119536,2022-12-14T10:50:05.598598271Z
ZH/a//4Aap8=,RAK4630-FDE9,-113,0,0,2022-12-14T10:50:05.598598271Z
ZH/a//4Af7A=,RAK4630-FDE9,-117,22.33821,114.19698,2022-12-14T10:50:05.598598271Z
ZH/a//4Ax58=,RAK4630-FDE9,-120,22.34953,114.17015,2022-12-14T10:50:13.121150742Z
y01BuvE4WuY=,RAK4630-FDE9,-101,22.3625704,114.119536,2022-12-14T10:50:13.121150742Z
ZH/a//4Af7A=,RAK4630-FDE9,-113,22.33821,114.19698,2022-12-14T10:50:13.121150742Z
ZH/a//4Aap8=,RAK4630-FDE9,-109,0,0,2022-12-14T10:50:13.121150742Z
ZH/a//4Ax58=,RAK4630-FDE9,-117,22.34953,114.17015,2022-12-14T10:50:20.601270456Z
y01BuvE4WuY=,RAK4630-FDE9,-93,22.3625704,114.119536,2022-12-14T10:50:20.601270456Z
ZH/a//4Aapw=,RAK4630-FDE9,-104,22.34299,114.19675,2022-12-14T10:50:20.601270456Z
ZH/a//4Af7A=,RAK4630-FDE9,-112,22.33821,114.19698,2022-12-14T10:50:20.601270456Z
ZH/a//4Aap8=,RAK4630-FDE9,-111,0,0,2022-12-14T10:50:20.601270456Z
ZH/a//4Aap8=,RAK4630-FDE9,-115,0,0,2022-12-14T10:50:35.600615862Z
ZH/a//4Aapw=,RAK4630-FDE9,-107,22.34299,114.19675,2022-12-14T10:50:35.600615862Z
y01BuvE4WuY=,RAK4630-FDE9,-101,22.3625704,114.119536,2022-12-14T10:50:35.600615862Z
ZH/a//4Af7A=,RAK4630-FDE9,-114,22.33821,114.19698,2022-12-14T10:50:35.600615862Z
y01BuvE4WuY=,RAK4630-FDE9,-87,22.3625704,114.119536,2022-12-14T10:50:43.283240054Z
ZH/a//4Af7A=,RAK4630-FDE9,-116,22.33821,114.19698,2022-12-14T10:50:50.599709959Z
ZH/a//4Aapw=,RAK4630-FDE9,-107,22.34299,114.19675,2022-12-14T10:50:50.599709959Z
ZH/a//4Ax58=,RAK4630-FDE9,-121,22.34953,114.17015,2022-12-14T10:50:50.599709959Z
y01BuvE4WuY=,RAK4630-FDE9,-98,22.3625704,114.119536,2022-12-14T10:50:50.599709959Z
ZH/a//4Aap8=,RAK4630-FDE9,-111,0,0,2022-12-14T10:50:50.599709959Z
ZH/a//4Aap8=,RAK4630-FDE9,-113,0,0,2022-12-14T10:50:58.333772422Z
ZH/a//4Aapw=,RAK4630-FDE9,-105,22.34299,114.19675,2022-12-14T10:50:58.333772422Z
y01BuvE4WuY=,RAK4630-FDE9,-98,22.3625704,114.119536,2022-12-14T10:50:58.333772422Z
ZH/a//4Af7A=,RAK4630-FDE9,-115,22.33821,114.19698,2022-12-14T10:50:58.333772422Z
ZH/a//4Aap8=,RAK4630-FDE9,-111,0,0,2022-12-14T10:51:05.649122373Z
ZH/a//4Aapw=,RAK4630-FDE9,-107,22.34299,114.19675,2022-12-14T10:51:05.649122373Z
ZH/a//4Af7A=,RAK4630-FDE9,-115,22.33821,114.19698,2022-12-14T10:51:05.649122373Z
ZH/a//4Aapw=,RAK4630-FDE9,-105,22.34299,114.19675,2022-12-14T10:51:13.117225332Z
ZH/a//4Aap8=,RAK4630-FDE9,-110,0,0,2022-12-14T10:51:13.117225332Z
ZH/a//4Af7A=,RAK4630-FDE9,-113,22.33821,114.19698,2022-12-14T10:51:13.117225332Z
y01BuvE4WuY=,RAK4630-FDE9,-92,22.3625704,114.119536,2022-12-14T10:51:13.117225332Z
ZH/a//4Af7A=,RAK4630-FDE9,-111,22.33821,114.19698,2022-12-14T10:51:20.656341663Z
y01BuvE4WuY=,RAK4630-FDE9,-99,22.3625704,114.119536,2022-12-14T10:51:20.656341663Z
ZH/a//4Aap8=,RAK4630-FDE9,-113,0,0,2022-12-14T10:51:20.656341663Z
ZH/a//4Aapw=,RAK4630-FDE9,-103,22.34299,114.19675,2022-12-14T10:51:20.656341663Z
ZH/a//4Aap8=,RAK4630-FDE9,-115,0,0,2022-12-14T10:51:28.184448757Z
y01BuvE4WuY=,RAK4630-FDE9,-96,22.3625704,114.119536,2022-12-14T10:51:28.184448757Z
ZH/a//4Af7A=,RAK4630-FDE9,-115,22.33821,114.19698,2022-12-14T10:51:28.184448757Z
ZH/a//4Aapw=,RAK4630-FDE9,-104,22.34299,114.19675,2022-12-14T10:51:35.649234886Z
